"Peaks significantly differentially enriched (DESeq2 nominal p < 0.1) in control, whole embryos compared to U0126-treated, PMC-minus embryos. Column 1: DNase-seq Peak Name: peak number, obtained from DNase-seq RPS peak names.",,,,,,,,
DNase Peak Name,Scaffold,Start,End,baseMean,log2FoldChange,lfcSE,stat,pvalue
13110,Scaffold12,700210,700588,8.736154248,0.62823887,0.227488473,2.761629458,0.005751371
67471,Scaffold247,380225,380756,14.95870764,0.668003155,0.242165591,2.758456108,0.00580751
65317,Scaffold240,176326,177419,38.01559146,0.639583516,0.231891592,2.7581143,0.005813587
149029,Scaffold881,272264,273237,29.65560234,0.658252551,0.239132439,2.752669413,0.005911155
129131,Scaffold640,184279,186536,78.79038741,0.554230323,0.201400242,2.751885094,0.005925331
112912,Scaffold499,96803,97148,14.10181116,0.659884185,0.240149396,2.747806969,0.005999532
30558,Scaffold1521,129601,130861,43.16615939,0.640284512,0.233326233,2.744159985,0.006066596
138798,Scaffold749,263489,263891,10.08651145,0.621826608,0.226945078,2.739987191,0.006144158
4107,Scaffold1054,169639,170026,16.98863513,0.664771705,0.242843727,2.737446476,0.006191819
16232,Scaffold1252,61460,61629,4.710145225,0.521198802,0.190986999,2.7289753,0.006353146
109872,Scaffold474,186219,187949,168.8270745,0.467628825,0.171523115,2.726331224,0.00640427
68049,Scaffold249,492949,494804,68.66064727,0.583482372,0.21443488,2.721023615,0.006508011
97686,Scaffold383,310324,311411,43.4089232,0.615875056,0.226562359,2.718346773,0.006560904
120083,Scaffold558,372758,373430,16.51720321,0.660256603,0.243042053,2.716635221,0.006594925
66248,Scaffold243,644655,647006,125.2711245,0.514844158,0.189579134,2.71572164,0.006613149
56520,Scaffold213,230402,232773,92.71046951,0.52809786,0.194552831,2.714418793,0.006639218
36456,Scaffold1641,66045,67614,51.40047087,0.591330091,0.218062311,2.71174825,0.00669294
59451,Scaffold222,462550,464188,130.6319106,0.503081909,0.185824984,2.707288862,0.00678352
75900,Scaffold278,167605,168595,25.63497061,0.654568397,0.241816768,2.706877618,0.006791929
66241,Scaffold243,628652,629406,29.84054099,0.64908066,0.239817453,2.7065614,0.006798401
63970,Scaffold2354,89386,90196,45.45094299,0.615439794,0.227807606,2.701577023,0.006901149
5068,Scaffold107,250423,251753,81.67803201,0.540973178,0.200311149,2.700664342,0.006920114
47746,Scaffold190,78288,78921,10.37655981,0.617109816,0.228739362,2.697873296,0.0069784
51980,Scaffold20,1379535,1381597,101.6591079,0.501429421,0.185982294,2.696113759,0.00701537
81994,Scaffold3006,33601,34418,25.03205331,0.651224311,0.24161901,2.695252786,0.007033525
25757,Scaffold142,249464,262252,864.6822446,0.331090776,0.122983746,2.692150679,0.007099286
90820,Scaffold343,143200,144034,18.82182396,0.654872588,0.243674394,2.687490372,0.007199118
57104,Scaffold215,144823,147742,492.4391739,0.334834794,0.124762611,2.683775132,0.007279605
135817,Scaffold71,346274,347073,40.64353013,0.620954194,0.231417288,2.683266234,0.007290693
148958,Scaffold880,491747,499533,529.2339932,0.365080837,0.136118532,2.682080327,0.007316589
